"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Lamar State College-Port Arthur",77640,29.880903,-93.925514,NA,0.0468,5533,17233,5621,4278,10781,10833,12870,NA,NA,NA,NA,NA,111,NA,4648,10000,45477.14,5200,11700,37300,57600,5200,14200,46500,65400
"Laredo Beauty College Inc",78040,27.523778,-99.475786,NA,0,NA,NA,NA,NA,NA,NA,NA,4075,NA,NA,NA,NA,NA,92,NA,NA,37939.79,3400,9900,19300,32500,4400,9900,21600,34400
"Laredo Community College",NA,27.506477,-99.520772,NA,0.0771,3410,5858,4506,5110,5475,6581,NA,NA,NA,NA,NA,NA,759,NA,6558,1500,40784.46,6300,13800,36600,53700,8700,17200,47000,64900
"Texas A & M International University",NA,27.573504,-99.435225,0.4801,0,6635,16150,8243,8374,10084,13681,15710,NA,NA,NA,NA,NA,730,NA,8255,14806,43910.56,10900,19900,47200,59100,14400,27700,54300,72500
"Lee College",77520,29.731654,-94.976724,NA,0.2129,1672,3520,5862,6865,7963,7553,6850,NA,NA,NA,NA,NA,126,NA,6818,8125,58603.18,4400,13900,45000,68800,4800,15800,51700,70800
"LeTourneau University",75602,32.467658,-94.72726,0.4548,0.054,27900,27900,NA,NA,NA,NA,NA,17712,16570,21006,22305,25448,NA,216,6482,27084,63985.71,14200,25300,59300,78600,15600,33800,71400,104300
"Lincoln College of Technology-Grand Prairie",75052,32.701684,-97.056391,NA,0.0694,NA,NA,NA,NA,NA,NA,NA,19207,19387,21589,23035,23042,NA,164,3839,12000,61770.1,6700,16000,40900,56500,7300,18500,47500,66900
"Lubbock Hair Academy",79410,33.563391,-101.876609,NA,0,NA,NA,NA,NA,NA,NA,NA,12356,NA,NA,NA,NA,NA,33,NA,NA,43925,NA,NA,NA,NA,NA,NA,NA,NA
"Lubbock Christian University",NA,33.576273,-101.934816,0.9608,0,20360,20360,NA,NA,NA,NA,NA,17176,19926,21601,22536,22916,NA,232,6295,24500,51468.15,10900,20500,44900,70700,8300,26300,61000,76300
"College of the Mainland",NA,29.395514,-94.999739,NA,0.0621,1773,3873,2520,3377,4562,8338,8338,NA,NA,NA,NA,NA,76,NA,5992,7224,55565.02,4100,14300,42400,57800,6000,14200,46600,68000
"University of Mary Hardin-Baylor",NA,31.066798,-97.463479,0.804,0,26100,26100,NA,NA,NA,NA,NA,21243,20867,21845,23624,29105,NA,550,7538,26750,62566.96,8600,23200,48800,62500,11600,27900,58300,76400
"McLennan Community College",76708,31.590003,-97.17287,NA,0,2760,4560,5747,5832,8154,11015,NA,NA,NA,NA,NA,NA,654,NA,6868,10366.5,47408.39,6200,14700,37700,55100,5500,16600,45700,62700
"McMurry University",79697,32.429551,-99.750277,0.5334,0,25763,25763,NA,NA,NA,NA,NA,18254,18934,21773,22953,25196,NA,188,5919,26824.5,52571.87,9600,19700,45100,56500,10000,23600,53500,75400
"Covenant School of Nursing and Allied Health",79407,33.575704,-101.947099,1,0,4675,4675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,48583.31,29300,39900,66900,72900,19600,37300,71800,82600
"Metroplex Beauty School",NA,32.771826,-96.599222,NA,0,NA,NA,NA,NA,NA,NA,NA,7822,NA,NA,NA,NA,NA,27,NA,NA,58819.7,NA,NA,NA,NA,3300,NA,NA,39100
"Midland College",79705,32.028578,-102.10539,NA,0.0511,1968,4128,5265,7435,9010,6145,NA,NA,NA,NA,NA,NA,121,NA,6630,5500,49761.38,6000,17400,49100,67000,7000,19700,58300,73200
"Midwestern State University",NA,33.877143,-98.51774,0.76,0,8005,9955,5622,6639,10932,14154,14717,NA,NA,NA,NA,NA,580,NA,7600,22299.5,57712.44,11300,23600,52600,69000,10600,26600,55900,73100
"Mims Classic Beauty College",NA,29.494868,-98.507836,NA,0,NA,NA,NA,NA,NA,NA,NA,4516,NA,NA,NA,NA,NA,15,NA,NA,57409.13,NA,NA,NA,NA,NA,NA,NA,NA
"Wade College",75207,32.80086,-96.819524,NA,0,13310,13310,NA,NA,NA,NA,NA,20309,20923,24896,25760,25415,NA,57,4726,23250,62645.92,4000,14700,39000,43600,5800,11800,39500,58200
"Southern Careers Institute-Austin",78704,30.239114,-97.751369,NA,0,NA,NA,NA,NA,NA,NA,NA,27166,27027,29572,27389,30901,NA,261,NA,9500,43098.67,3300,9500,25800,34900,3800,11100,30500,39300
"Mountain View College",NA,32.726573,-96.903798,NA,0.0326,1770,5220,2910,3670,6078,7116,NA,NA,NA,NA,NA,NA,388,NA,7387,10141,55457.88,6400,15500,39000,46500,6800,16100,44200,59400
"Everest Institute-San Antonio",78213,29.488572,-98.540709,NA,0.3961,NA,NA,NA,NA,NA,NA,NA,21910,22603,25070,27197,NA,NA,109,NA,9500,51450.82,3600,9100,27000,38200,5100,13100,34000,47500
"Tint School of Makeup and Cosmetology-Irving",NA,32.829662,-96.98076,NA,0,NA,NA,NA,NA,NA,NA,NA,8574,8826,9104,NA,NA,NA,14,NA,7531,58575.98,NA,NA,NA,NA,7200,11300,31500,38000
"Navarro College",75110,32.076066,-96.498738,NA,0.0324,2218,5068,12383,12851,14179,14552,14856,NA,NA,NA,NA,NA,936,NA,6207,11000,55505.8,5400,13500,38000,51400,7000,16700,44200,63400
"Neilson Beauty College",75208,32.742919,-96.829149,NA,0,NA,NA,NA,NA,NA,NA,NA,3988,NA,NA,NA,NA,NA,7,NA,NA,48776.09,NA,NA,NA,NA,NA,NA,NA,NA
"Lone Star College System",NA,30.188408,-95.490077,NA,0.0665,1504,3544,5590,6180,8462,10367,10682,NA,NA,NA,NA,NA,2773,NA,6694,9500,68473.02,5700,15900,44100,60200,7300,18100,51000,69500
"North Lake College",NA,32.871878,-96.967106,NA,0.0137,1770,5220,3613,4794,6390,8287,9423,NA,NA,NA,NA,NA,283,NA,7047,10500,66250.74,6600,15500,44200,59100,8100,18100,52400,74000
"University of North Texas",NA,33.210958,-97.151211,0.7015,0.0059,9730,19090,2150,7269,15143,17984,19342,NA,NA,NA,NA,NA,2616,NA,10381,20000,72891.36,10100,22400,47500,61300,11700,28000,58500,79500
"Northeast Texas Community College",75455,33.104937,-94.881862,NA,0.0323,2506,5696,6755,6879,9429,11722,12707,NA,NA,NA,NA,NA,394,NA,6241,10500,43446.89,4200,13100,35000,50300,5300,15400,41200,63300
"Northwood University-Texas",NA,32.607123,-96.967103,0.8571,0,10200,10200,NA,NA,NA,NA,NA,NA,32666,NA,NA,NA,NA,1,7525,21775,64809.96,11900,25400,56000,72400,11700,27400,65500,91200
"Oblate School of Theology",NA,29.505488,-98.503348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ocean Corporation",77099,29.665485,-95.570272,NA,0.6495,NA,NA,NA,NA,NA,NA,NA,22817,24276,27550,26575,28154,NA,190,NA,9500,62591.31,8900,25100,78100,101700,7000,22400,80300,111500
"Odessa College",79764,31.866295,-102.381919,NA,0.0661,2580,5160,5411,7365,10047,11067,9382,NA,NA,NA,NA,NA,130,NA,5919,6649,43302.87,5300,14500,46300,64700,6800,17900,54300,72500
"Ogle School Hair Skin Nails-Arlington",76013,32.721297,-97.140672,NA,0,NA,NA,NA,NA,NA,NA,NA,15988,16398,18693,19561,19712,NA,207,NA,9660,70358.17,4700,9900,29400,40000,2500,12100,34600,47900
"Ogle School Hair Skin Nails-Ft Worth",NA,32.673847,-97.380376,NA,0,NA,NA,NA,NA,NA,NA,NA,16332,16374,17078,19771,19771,NA,210,NA,9153,61768.59,3100,8600,29100,43200,3400,10800,34600,47000
"Our Lady of the Lake University",NA,29.425611,-98.54395,0.681,0,26148,26148,NA,NA,NA,NA,NA,14348,15930,18839,20104,20205,NA,316,6816,24447,52505.04,11200,21200,44800,57200,13100,24700,52100,69200
"The University of Texas Rio Grande Valley",NA,26.306629,-98.172112,0.8224,0,7292,16652,3123,3649,6416,10628,10916,NA,NA,NA,NA,NA,2457,NA,7893,10539,35906.7,8600,17100,44800,57500,11500,23400,50900,77700
"Texas Southmost College",78520,25.893584,-97.486644,NA,0.0079,3198,5598,1904,2681,5152,10661,10145,NA,NA,NA,NA,NA,925,NA,5303,15000,34960.98,7700,14200,39600,56100,9300,17800,45800,65600
"Panola College",NA,32.15625,-94.356258,NA,0.2528,1752,3648,6622,6412,7821,12123,NA,NA,NA,NA,NA,NA,207,NA,5780,7794.5,42941.94,6900,13800,40000,66400,5500,17400,51500,67300
"Paris Junior College",75460,33.651072,-95.529301,NA,0.0326,1548,3540,5647,6404,7392,8047,NA,NA,NA,NA,NA,NA,549,NA,6549,3500,44595.96,3900,11700,34200,47900,5100,14200,42200,60200
"Paul Quinn College",75241,32.677195,-96.755864,0.5987,0,8275,8275,NA,NA,NA,NA,NA,16471,18705,21437,23432,23618,NA,87,5128,32115.5,52585.23,3700,12800,35500,47300,4900,14900,41900,53500
"Prairie View A & M University",77446,30.094591,-95.992066,0.8595,0.025,9745,22272,9082,9546,13663,17527,18835,NA,NA,NA,NA,NA,1345,NA,7364,28955,57579.55,6300,16600,42600,63200,7200,20600,49600,71600
"Ranger College",76470,32.466916,-98.68041,NA,0,2370,4710,5744,5718,7641,7717,NA,NA,NA,NA,NA,NA,210,NA,3710,9400,46470.06,3300,13300,39100,51200,5400,13500,44800,56200
"Aviation Institute of Maintenance-Houston",77061,29.65852,-95.28262,NA,0,17997,17997,NA,NA,NA,NA,NA,23740,24114,27704,28537,NA,NA,34,NA,19999,56783.64,NA,NA,NA,NA,NA,NA,NA,NA
"Rice University",NA,29.716485,-95.403625,0.1596,0.0116,42253,42253,NA,NA,NA,NA,NA,7159,6089,9987,22734,38860,NA,285,14946,10227.5,77707.58,10300,31900,82400,119700,25700,43200,106500,161600
"Richland College",NA,32.922141,-96.730505,NA,0.0062,1770,5220,2885,3516,5523,7785,8422,NA,NA,NA,NA,NA,486,NA,7594,8857,64870.98,5700,16000,40300,54100,7700,17800,49900,72100
"Brightwood College-McAllen",NA,26.186109,-98.207067,NA,0,NA,NA,NA,NA,NA,NA,NA,19340,19222,21073,23363,23363,NA,163,3233,9253,41882.77,4000,10400,27700,38100,6900,13700,33600,44700
"Saint Edward's University",NA,30.229844,-97.75763,0.7745,0,38720,38720,NA,NA,NA,NA,NA,15913,16114,19916,23593,28240,NA,540,8262,25271.5,71197.81,9700,22100,49600,64000,10000,30900,68600,89500
"St Philip's College",NA,29.41456,-98.452987,NA,0.0733,2088,10740,5600,6647,8669,10570,8510,NA,NA,NA,NA,NA,267,NA,5680,9500,49609.21,5500,14300,38600,50900,6900,16200,44900,63000
"University of St Thomas",NA,29.738113,-95.394178,0.7803,0,30310,30310,NA,NA,NA,NA,NA,18084,18264,19769,22141,25977,NA,134,6866,22000,71790.89,9900,21800,51400,64300,15600,30600,74200,96800
"Sam Houston State University",77340,30.7247,-95.5519,0.7271,0.0163,7618,16978,11833,10538,13271,17622,18728,NA,NA,NA,NA,NA,1809,NA,7410,21500,63900.24,10600,24100,48200,61200,11900,29100,58300,78900
"San Antonio College",NA,29.446415,-98.494234,NA,0.0032,2088,10740,6186,6720,9037,10096,11957,NA,NA,NA,NA,NA,557,NA,6561,9750,51882.34,5900,14400,37000,52200,6900,17600,45000,65100
"San Jacinto Community College",77505,29.660335,-95.115941,NA,0.0634,1408,3688,7306,7846,9271,11549,12607,NA,NA,NA,NA,NA,1054,NA,6912,9265,61495.77,6200,16000,43800,60000,8200,19700,54000,75600
"Schreiner University",NA,30.03108,-99.131076,0.9014,0,25086,25086,NA,NA,NA,NA,NA,17406,16632,18185,21416,24302,NA,236,6145,25000,58273.81,7800,19400,43000,56600,10000,23600,52200,69100
"Seguin Beauty School-Seguin",78155,29.569092,-97.964447,NA,0,NA,NA,NA,NA,NA,NA,NA,12188,14510,16377,18490,NA,NA,15,NA,8820.5,53314.25,2700,NA,NA,34300,NA,8800,24600,NA
"St. Mary's University",78228,29.451793,-98.564307,0.552,0.0039,27160,27160,NA,NA,NA,NA,NA,15361,15901,17221,21688,24085,NA,352,10069,27000,56236.53,10600,22600,49200,59700,17900,29900,60200,85300
"South Plains College",79336,33.575904,-102.365075,NA,0.0087,2240,3560,5280,5602,6047,5808,5650,NA,NA,NA,NA,NA,925,NA,5493,10500,46458.66,5900,15300,42200,58100,6400,19600,51100,64900
"South Texas Barber College Inc",78415,27.752904,-97.41707,NA,0,NA,NA,NA,NA,NA,NA,NA,7181,NA,NA,NA,NA,NA,11,NA,NA,44919.88,NA,NA,NA,NA,NA,NA,NA,NA
"South Texas College of Law Houston",77002,29.753391,-95.364882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Texas Vocational Technical Institute-Weslaco",78599,26.171555,-97.965229,NA,0,NA,NA,NA,NA,NA,NA,NA,24347,24475,26382,NA,NA,NA,257,NA,10307,32125.19,4900,10900,28000,37900,5400,12600,30500,43200
"South Texas Vocational Technical Institute-McAllen",78501,26.233242,-98.242566,NA,0,NA,NA,NA,NA,NA,NA,NA,23831,24710,26957,29427,29427,NA,180,NA,9500,34943.1,4700,10200,25600,39200,6800,11900,30100,45600
"Southern Methodist University",NA,32.845254,-96.784855,0.4895,0,48190,48190,NA,NA,NA,NA,NA,21508,21887,23790,32468,43191,NA,419,11969,21500,82038.46,12100,29600,66800,93700,14900,34700,88700,126200
"Southwest School of Business and Technical Careers-San Antonio",NA,29.36776,-98.517333,NA,0,NA,NA,NA,NA,NA,NA,NA,17862,18486,NA,NA,NA,NA,125,NA,5285.5,39047.26,3900,8700,24300,30700,6100,9700,27900,35800
"Southwest Texas Junior College",NA,29.219676,-99.741245,NA,0,2116,4468,5883,6503,9632,11245,11844,NA,NA,NA,NA,NA,605,NA,2269,5500,33388.81,5700,13900,37000,48100,6800,16300,42300,58800
"Southwestern Assemblies of God University",75165,32.405477,-96.85315,0.2796,0,19180,19180,NA,NA,NA,NA,NA,22216,23985,25794,27630,27160,NA,261,5318,26250,59789.49,6700,16900,39500,49800,6200,19500,48100,63500
"Southwestern University",78626,30.635194,-97.664637,0.4422,0,37560,37560,NA,NA,NA,NA,NA,16864,16348,21715,25316,28435,NA,215,7795,26893,75446.44,11600,20800,50200,63200,13200,34100,68900,96300
"Stephen F Austin State University",75961,31.58562,-94.58546,0.6157,0,7560,16920,10800,12805,16873,21365,22160,NA,NA,NA,NA,NA,1460,NA,7365,25000,60702.32,9800,21900,45800,56900,12000,26900,55400,74100
"Texas State University",78666,29.889202,-97.936392,0.7084,0.0155,9348,20268,10213,11007,14697,18869,19986,NA,NA,NA,NA,NA,3539,NA,7855,21250,66830.13,10800,23400,48300,61200,13500,30100,61200,82200
"Southwestern Adventist University",76059,32.397136,-97.328511,0.4851,0,19916,19916,NA,NA,NA,NA,NA,17473,18378,21028,21746,24278,NA,134,6175,26000,57388.77,7300,19800,53800,66600,9300,22400,56300,79100
"Southwestern Christian College",NA,32.735778,-96.286747,NA,0,7764,7764,NA,NA,NA,NA,NA,8673,9858,9057,9781,14399,NA,54,2665,10200,55737.34,4300,8600,26600,39600,5300,11500,33200,53700
"Sul Ross State University",79832,30.363418,-103.65007,0.7997,0,5927,15287,11095,12560,15243,17829,19773,NA,NA,NA,NA,NA,261,NA,5956,16200,40704.93,8000,18800,43300,54700,11600,22000,49800,70400
"Tarleton State University",NA,32.215665,-98.22008,0.4967,0.0239,6630,15990,12445,13759,16445,17699,17910,NA,NA,NA,NA,NA,1430,NA,7551,19750,55170.11,10700,21100,47200,62900,12800,27400,57300,78500
"Tarrant County College District",NA,32.747501,-97.327948,NA,0.0342,1320,4920,5098,4897,7158,9114,9184,NA,NA,NA,NA,NA,2512,NA,6922,8820.5,65535.29,5700,14900,41900,55000,7700,18600,50100,69600
"Temple College",NA,31.070607,-97.351031,NA,0.01,2268,6396,2969,3834,6283,8889,7817,NA,NA,NA,NA,NA,171,NA,5639,15250,53941.2,5800,14000,39000,55400,5800,18200,48600,65600
"University of Texas Southwestern Medical Center",NA,32.819539,-96.842311,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8621,NA,74002.01,44700,52100,81200,114800,35100,55600,160100,250000
"The University of Texas Health Science Center at San Antonio",NA,29.504716,-98.57606,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8524,12500,63722.84,31300,49800,82500,123400,32400,52400,126900,183900
"The University of Texas Medical Branch",NA,29.311333,-94.776401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8476,15000,64429.18,29700,48700,83500,102800,30200,47900,92600,104900
"Texarkana College",75599,33.441916,-94.078821,NA,0.0571,1952,1952,7962,8568,10097,12187,12370,NA,NA,NA,NA,NA,313,NA,5685,9500,42814.93,4000,11500,33700,47700,6500,14400,40600,55600
"Texas A & M University-Kingsville",78363,27.524852,-97.882342,0.8237,0.0406,7700,20191,10017,10746,14991,18859,19610,NA,NA,NA,NA,NA,829,NA,7627,19636,45266.24,9600,20400,49400,68600,9500,23800,56600,81200
"Texas A & M University-College Station",NA,30.613226,-96.340322,0.6664,0.0267,10176,28768,6127,8350,14802,19715,21304,NA,NA,NA,NA,NA,3964,NA,10789,18750,67194.13,14400,31000,65100,80000,19600,38100,83000,110600
"The University of Texas at Arlington",76013,32.728437,-97.115087,0.6636,8e-04,9208,19104,11554,12240,14752,18413,19718,NA,NA,NA,NA,NA,1685,NA,8790,18000,66876.51,10500,24600,53000,69000,13500,30400,66100,88100
"The University of Texas at Austin",78712,30.286598,-97.73924,0.3924,0,9806,34676,11052,12614,16366,21725,24562,NA,NA,NA,NA,NA,2973,NA,11472,22250,72284.1,12400,27300,62700,87100,16200,37200,85300,120000
"The University of Texas at Dallas",NA,32.989432,-96.748371,0.6148,0,10864,26894,8997,9675,13389,17808,18572,NA,NA,NA,NA,NA,1135,NA,12287,18750,79361.13,11600,25900,57900,72500,15500,34400,74800,102300
"The University of Texas at El Paso",NA,31.771697,-106.50356,0.9999,0,7259,19159,4498,5675,9889,14750,15277,NA,NA,NA,NA,NA,2208,NA,8628,17250,46777.52,7400,17200,44700,60000,11200,22800,52500,77900
"The University of Texas at Tyler",NA,32.314724,-95.249096,0.6447,0.0267,7312,19236,10746,12899,15984,19499,19195,NA,NA,NA,NA,NA,377,NA,7971,18632,53622.93,10700,24900,53500,68600,14800,27400,62000,87400
"Texas Chiropractic College Foundation Inc",NA,29.66482,-95.15012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5194,NA,64593.5,NA,NA,NA,NA,NA,NA,NA,NA
"Texas Christian University",76129,32.709568,-97.361537,0.4328,0,40720,40720,NA,NA,NA,NA,NA,20406,22169,28172,32722,38918,NA,633,9920,21500,76266.48,13300,29200,60000,72300,14300,34200,71400,100100
"Texas College",75702,32.374185,-95.312259,NA,0,10008,10008,NA,NA,NA,NA,NA,11694,12229,14889,15184,16707,NA,192,4078,31000,47120.52,3400,10300,32300,42800,4500,11100,36600,49700
"University of North Texas Health Science Center",NA,32.749818,-97.368897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63070.86,46100,NA,NA,177500,NA,75700,250000,NA
"Texas Lutheran University",NA,29.573274,-97.984601,0.5072,0,27900,27900,NA,NA,NA,NA,NA,15480,15186,19222,18688,22183,NA,227,6961,27000,65468.32,10300,21300,48200,57100,14300,28300,58700,86000
"The University of Texas of the Permian Basin",NA,31.889509,-102.329634,0.8449,0.0187,5250,6090,3348,3667,5896,10241,10660,NA,NA,NA,NA,NA,217,NA,7630,13655,47475.29,11900,24000,56700,68700,12200,29600,61600,82100
"The University of Texas at San Antonio",NA,29.582418,-98.621386,0.7795,0,7447,17169,8601,9466,12441,16298,18141,NA,NA,NA,NA,NA,3403,NA,9387,22983,63798.29,10100,21900,48500,60800,14000,28900,60000,81400
"Brightwood College-Houston",77073,29.98361,-95.4125,NA,0,NA,NA,NA,NA,NA,NA,NA,22265,21984,25572,NA,NA,NA,43,NA,9495,56685.51,3500,9700,27600,36900,5400,12600,34400,44200
"Texas Southern University",77004,29.722468,-95.361961,0.509,0.0755,8726,20426,19194,23414,23414,NA,NA,NA,NA,NA,NA,NA,1099,NA,7552,29358,53781.71,4700,12300,37200,52200,6300,16900,45400,72500
"Texas Tech University",NA,33.580309,-101.876917,0.6306,9e-04,8028,17388,11466,13026,16460,20367,21046,NA,NA,NA,NA,NA,2702,NA,9058,22500,65284.89,13300,26300,56800,72300,14900,32700,73900,96800
"Texas Wesleyan University",NA,32.733314,-97.279631,0.4595,0,24454,24454,NA,NA,NA,NA,NA,17946,22449,32019,32492,32824,NA,258,7261,24999,62890.39,8200,19700,45400,57300,9600,26400,54400,67900
"Texas Woman's University",76204,33.227002,-97.129088,0.8592,0,6948,16308,6418,7260,10756,14306,15318,NA,NA,NA,NA,NA,821,NA,8208,20000,69739.2,11200,24300,53500,71700,12000,28100,62900,83700
"Trinity University",NA,29.46286,-98.482577,0.4803,0,37856,37856,NA,NA,NA,NA,NA,10500,14513,18260,23233,31690,NA,431,10269,25500,78650.29,18700,27800,58900,76400,15200,38700,78900,113200
"The University of Texas Health Science Center at Houston",77030,29.702873,-95.403183,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9791,15000,72139.11,25200,49900,82300,128700,30000,53600,174100,231700
"Texas Tech University Health Sciences Center",79430,33.593227,-101.89359,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8442,12500,60332.73,33100,50800,93900,125700,22900,48800,108400,117300
"Tyler Junior College",75701,32.336015,-95.284129,NA,0.0414,2410,4420,7447,8391,11005,11775,12486,NA,NA,NA,NA,NA,1628,NA,5235,10725,50647.26,5600,14800,39800,55900,6700,17400,47900,66600
"Universal Technical Institute of Texas Inc.",77073,29.990492,-95.41212,NA,0,NA,NA,NA,NA,NA,NA,NA,15279,15698,18698,20500,20530,NA,334,NA,16063,62876.8,9200,22000,50400,66400,11600,27800,63700,80300
"University of Cosmetology Arts & Sciences-McAllen",78504,26.268873,-98.219594,NA,0,NA,NA,NA,NA,NA,NA,NA,13265,11398,NA,NA,NA,NA,12,NA,4583,33345.99,3200,8500,20300,28000,4300,9400,23400,36000
"Vernon College",NA,34.159298,-99.319094,NA,0.0299,2940,6300,4760,5243,8405,9588,9933,NA,NA,NA,NA,NA,249,NA,5046,9500,45348.72,6000,15400,42400,58600,5500,18200,45100,63300
"Victoria Beauty College Inc",NA,28.80744,-96.990829,NA,0,NA,NA,NA,NA,NA,NA,NA,9539,NA,NA,NA,NA,NA,15,NA,5315,NA,NA,NA,NA,NA,2100,5500,23300,45100
"Victoria College",77901,28.816451,-96.979234,NA,0.1128,2640,4650,6724,7626,8021,11561,11924,NA,NA,NA,NA,NA,154,NA,5766,9253,49349.59,5600,16500,43700,56900,8500,19500,50800,68500
"Vogue College of Cosmetology-McAllen",NA,26.23253,-98.223001,NA,0,NA,NA,NA,NA,NA,NA,NA,11903,13632,NA,NA,NA,NA,91,NA,7794,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wayland Baptist University",79072,34.186673,-101.729564,0.9871,0,13680,13680,NA,NA,NA,NA,NA,14467,15575,16301,16299,15479,NA,203,4810,19875,52818.65,10800,24200,50000,70100,11300,25800,57700,78700
"Weatherford College",NA,32.740658,-97.792652,NA,0,2400,5280,6012,6938,8455,10875,NA,NA,NA,NA,NA,NA,314,NA,5923,9601,56911.63,4400,13300,41800,60000,5200,15800,48500,67700
"West Texas A & M University",NA,34.981996,-101.9158,0.6689,0.0049,7041,7829,9279,10172,14455,17130,18002,NA,NA,NA,NA,NA,840,NA,7573,20500,51385.91,10100,21400,47000,62400,10900,27200,55100,78400
"Western Texas College",79549,32.678586,-100.914369,NA,0.0288,1898,3696,4207,4271,5485,NA,NA,NA,NA,NA,NA,NA,92,NA,4505,8819.5,42581.73,6900,13600,44200,59200,6000,16500,48700,78400
"Wharton County Junior College",77488,29.324294,-96.085199,NA,0.0702,2222,4214,2675,3472,6336,8427,8817,NA,NA,NA,NA,NA,635,NA,5947,7455,63150.9,7500,15300,42600,60700,10300,21100,53000,71700
"Wiley College",75670,32.537646,-94.376821,NA,0,11828,11828,NA,NA,NA,NA,NA,14233,10862,14153,9557,15707,NA,233,4651,30046.5,46196.02,4100,12400,35200,48800,7200,14000,38100,54500
"AmeriTech College-Provo",84604,40.261772,-111.668083,0.8333,0,NA,NA,NA,NA,NA,NA,NA,10718,11876,13094,13577,14435,NA,60,NA,21827,62933.79,2700,20400,56500,56600,3300,13100,42400,52500
"Bridgerland Applied Technology College",84321,41.756188,-111.850619,NA,0.0174,NA,NA,4762,6870,4895,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,55450.03,2500,12700,40600,54700,5300,12000,45200,61100
"Brigham Young University-Provo",84602,40.250851,-111.649281,0.4805,0,5150,5150,NA,NA,NA,NA,NA,9372,10254,12261,15089,16600,NA,974,10331,11000,64914.81,4900,19900,61600,79300,7000,29300,91600,127300
"Brigham Young University-Hawaii",NA,21.641172,-157.925358,0.3562,0,5100,5100,NA,NA,NA,NA,NA,8060,7587,8847,12176,12333,NA,172,8801,8759,69190.39,3800,14500,45500,63700,4600,20600,62000,87300
"Broadview University-West Jordan",84088,40.700265,-111.92378,NA,0,13500,13500,NA,NA,NA,NA,NA,20555,17023,22135,20647,NA,NA,21,3928,26838,70004.7,4700,12600,35600,50000,7600,13400,37900,56500
